new entry "FULL_DRAGON_SOUL"
type "StatusData"
data "StatusType" "POLYMORPHED"
data "ForGameMaster" "No"
data "InitiateCombat" "No"
data "DisplayName" "FULL_DRAGON_SOUL_DisplayName"
data "DisplayNameRef" "Full Dragon Form"
data "Description" "FULL_DRAGON_SOUL_Description"
data "DescriptionRef" "Pep menja peps"
data "Icon" "Portrait_Creatures_PurgedDragon_A"
data "FormatColor" "White"
data "StatsId" "Stats_DragonSoul_FulLDragon"
data "StackId" "Stack_Polymorphing"
data "IsInvulnerable" "Yes"
data "Skills" "Shout_DraonSoul_CancelDragonForm"
data "PolymorphResult" "ff52ab42-06f6-429d-bc15-610302a2a019"

